Project,Client,Title,Duration
UpWork,,pyAssignments,48:14:14
UpWork,,Assignment 5,35:17:02
UpWork,,Assignment 6,34:44:01
UpWork,,Assignment 3,34:01:44
UpWork,,"Assignment 2, 3, 4",30:29:20
UpWork,,coursera,30:05:48
UpWork,,cyclostationarity,25:35:04
UpWork,,Nasdaq Scraper,20:39:47
UpWork,,Assignment 2,18:42:21
UpWork,,Pandas Refresh,16:13:33
UpWork,,Assignment 4,14:26:45
UpWork,,ml,09:48:12
UpWork,,TDA API,07:46:38
UpWork,,php wp plugin,01:36:42
UpWork,,drive api,01:16:42
Learning From Data,,hw 5,21:32:33
Learning From Data,,Numpy Refresh,18:54:16
Learning From Data,,Pandas Refresh,03:41:19
Learning From Data,,Logistic Regression,03:11:13
Learning From Data,,Coursera Logistic Regression,03:02:14
Learning From Data,,lecture 9,01:56:59
Learning From Data,,lecture 10,00:29:48
Learning From Data,,hw5,00:18:31
Learning From Data,,,00:34:50
localMint,,IB API,17:47:32
localMint,,,08:34:33
Projects,,2048 c++,23:21:57
CodeWars,,,22:38:13
Interview Prep,,coding-interview-university,08:15:16
Interview Prep,,IdealSpot coding challenge,04:22:18
Interview Prep,,c++,03:35:04
Interview Prep,,ctci,02:44:14
Interview Prep,,vipKid English ,00:58:46
Interview Prep,,leetcode,00:40:09
Interview Prep,,CtCI,00:32:46
c++,,udacity,07:24:17
Self Authoring,,Past,03:05:49
Self Authoring,,,02:28:29
Linear Algebra,,Upwork Assignment,03:37:01
Spanish,,Duolingo,00:59:32
Spanish,,,02:10:47
Tasks,,Taxes,01:48:58
Tasks,,taxes,00:37:40
Tasks,,Visa renewal,00:30:17
Poker,,appNLH book,02:02:57
chatbot,,,01:02:14
Blockchain,,cryptography,01:00:12
tos_api,,,00:54:12
