Project,Client,Title,Duration
gigMax,,gigMax,58:53:47
gigMax,,typescript/unit tests,37:00:18
gigMax,,kotlin tutorial,11:32:49
gigMax,,gigMax: convert to typescript,06:19:36
gigMax,,reading code with tests/typescript for insipiration,00:09:07
UT Coding Bootcamp,,grading hw 1,12:28:35
UT Coding Bootcamp,,grading hw 2,07:46:12
UT Coding Bootcamp,,grading hw 3,05:17:21
Interview Prep,,ctci,04:49:10
Interview Prep,,coding assessment,02:13:34
Interview Prep,,leetcode,00:29:12
javascript practice,,eloquentJS,03:57:01
react,,react tdd,02:09:46
